hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code,RentPrice,eviction_filings_completed,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,back_rent_median,crime,violent_crime,non_offensive_crime,eviction_filings_completed_scaled,crime_scaled,violent_crime_scaled,non_offensive_crime_scaled
19996.0,62136,22.2,13.7,17.9,47300,3022,2955,3172,5307,4612,4021,3310,2567,2634,2297,2539,2715,2561,2075,1324,859,530,800,16.7,75.4,0.3,4.7,3.3,60637,1152.0671904769895,1458,324,104,486,375,169,2462.9505714285715,6776,3888,2888,0.1458,0.6776,0.3888,0.2888
65876.0,157484,5.3,35.2,3.3,29060,1047,794,509,2040,2213,4327,4700,2570,1596,2025,1405,1775,1136,1029,734,711,281,168,63.2,15.3,0.3,15.1,7.5,60605,2151.3610581225144,364,48,27,96,100,93,3467.61,2763,1781,982,0.0364,0.2763,0.1781,0.0982
103766.0,201606,2.1,48.7,2.1,3287,75,44,0,0,177,483,776,320,172,311,158,184,209,270,66,42,0,0,70.5,1.8,0.0,20.3,5.7,60606,2298.946083403347,187,27,6,36,49,69,4578.378571428571,1322,829,493,0.0187,0.1322,0.0829,0.0493
20614.0,44564,30.2,7.7,11.1,81283,6073,6983,6432,6416,6369,6170,6117,6030,5130,4542,4289,4281,3806,2728,2721,1795,715,686,38.0,30.5,0.4,0.1,66.8,60623,1426.7717029074124,662,180,53,217,137,75,2302.443888888889,9975,4928,5047,0.0662,0.9975,0.4928,0.5047
23671.0,59799,39.2,7.0,14.8,110029,8901,7683,9135,9308,8670,9174,8009,6998,7371,7353,5695,5492,4647,3472,3847,2194,1118,962,43.8,19.6,0.4,0.6,71.6,60629,1426.7717029074124,627,144,81,210,132,60,2220.559117647059,8740,4713,4027,0.0627,0.874,0.4713,0.4027
28324.0,62548,35.4,8.9,8.4,12689,710,586,962,887,832,713,795,992,775,705,1084,859,700,586,430,545,302,226,68.5,23.4,0.0,0.3,47.6,60633,1426.7717029074124,141,20,8,42,45,26,2383.4075,556,321,235,0.0141,0.0556,0.0321,0.0235
34676.0,83809,34.0,14.7,8.0,58669,3884,3707,4642,3662,2921,3653,4130,4859,3731,3533,3834,4040,3833,2673,2098,1300,1100,1069,74.2,3.9,0.7,0.5,50.4,60638,1426.7717029074124,100,17,9,32,22,20,2553.835789473684,2680,1389,1291,0.01,0.268,0.1389,0.1291
36242.0,82729,13.8,34.5,4.2,69363,2910,2881,2181,1561,4618,8918,8865,6206,5392,4787,4316,4056,3353,2664,2139,1406,1589,1521,65.1,16.9,0.6,10.9,14.1,60640,1354.9348115347227,556,60,42,231,167,56,3157.8503333333333,2893,1693,1200,0.0556,0.2893,0.1693,0.12
23829.0,51506,25.5,14.4,16.0,46633,3122,2578,3154,2395,3249,3563,3340,3700,3086,2950,2634,2948,3191,2357,1655,1194,740,777,3.8,93.4,0.2,0.3,2.5,60649,919.1329077645986,1868,522,122,658,405,161,2398.7726086956523,6714,3736,2978,0.1868,0.6714,0.3736,0.2978
53636.0,116132,19.8,26.7,4.1,28569,1922,1732,2151,2164,1520,1626,1592,1867,2117,1745,2067,2238,2180,1113,970,613,378,574,89.5,6.6,0.1,1.5,9.1,60655,1426.7717029074124,101,12,2,42,26,19,3044.8984615384616,831,405,426,0.0101,0.0831,0.0405,0.0426
89233.0,149605,3.5,47.9,1.5,10354,492,270,82,160,794,2505,2168,1291,1019,411,298,360,172,237,32,26,0,37,63.6,4.3,0.0,28.5,6.2,60661,2003.4144357817142,104,14,3,13,31,43,4996.548333333333,1107,703,404,0.0104,0.1107,0.0703,0.0404
23303.0,48231,32.1,8.9,19.7,28483,2578,2248,2154,1933,2252,2081,1979,1350,2131,1964,1716,1673,1565,1193,763,414,249,240,6.8,90.3,0.1,0.1,5.2,60827,1426.7717029074124,171,28,31,53,34,25,1688.3575,1583,841,742,0.0171,0.1583,0.0841,0.0742
50244.0,119010,24.4,25.3,2.5,29529,2066,1619,1525,1087,1077,2120,1792,2224,1865,2049,2022,2425,2085,1632,969,825,839,1308,88.0,1.2,0.2,3.5,11.9,60631,1426.7717029074124,92,14,12,39,15,12,2473.083846153846,775,426,349,0.0092,0.0775,0.0426,0.0349
67213.0,183890,5.2,47.9,2.6,71954,3738,2637,2512,3449,8056,14306,9256,5372,3496,3962,2753,2975,2713,2517,1735,1000,787,690,84.0,4.3,0.0,7.3,6.2,60614,2054.638033645096,233,36,29,59,52,57,4478.55025,4427,2893,1534,0.0233,0.4427,0.2893,0.1534
