,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zipcode,RentPrice,eviction_filings_completed,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,back_rent_median,crime,violent_crime,non_offensive_crime,eviction_filings_completed_scaled,crime_scaled_x,violent_crime_scaled_x,non_offensive_crime_scaled_x,RTI_ratio_x,time_to_CBD_x,distance_to_CBD_x,violent_crime_scaled_y,crime_scaled_y,non_offensive_crime_scaled_y,RTI_ratio_y,time_to_CBD_y,distance_to_CBD_y,wdi,wdi_scaled
36,50244,119010,24.4,25.3,2.5,29529,2066,1619,1525,1087,1077,2120,1792,2224,1865,2049,2022,2425,2085,1632,969,825,839,1308,88.0,1.2,0.2,3.5,11.9,60631,1426.771703,92,14,12,39,15,12,2473.083846,775,426,349,0.003115581,0.026245386,0.014426496,0.01181889,0.3407622887508956,1286.0,21246.0,0.0,0.0,0.0,0.1358742958363187,0.07166666666666667,1.9212154544204592,0.0010682981562551127,-0.3581102556565704
37,67213,183890,5.2,47.9,2.6,71954,3738,2637,2512,3449,8056,14306,9256,5372,3496,3962,2753,2975,2713,2517,1735,1000,787,690,84.0,4.3,0.0,7.3,6.2,60614,2054.638034,233,36,29,59,52,57,4478.55025,4427,2893,1534,0.00323818,0.061525419,0.040206243,0.021319176,0.36682868504604765,859.1818181818181,8399.09090909091,0.6009493907780521,0.3806700552039855,0.09972021046115745,0.22276228348682556,0.0,0.15483169381148218,2.080692673520561,-0.30790225808210503
38,32746,73926,12.2,25.4,9.0,40590,2054,1762,1413,1813,4853,4724,3467,3028,2210,2197,2216,2050,2392,2144,1595,1026,914,732,31.1,54.8,0.3,8.6,5.5,60615,1472.303146,1019,167,85,317,293,157,2493.897576,3139,1850,1289,0.025104706,0.077334319,0.045577729,0.03175659,0.5395357525193917,925.0,10999.857142857143,0.8148335191526637,0.7354319599658903,0.6381197771587744,0.7984525083979723,0.0,0.51242364125631,3.2126740620203753,-0.2805730348428446
39,23305,50819,26.6,14.6,16.1,61207,3861,3403,3463,3137,3806,4679,4167,3480,3147,3644,4058,5128,4776,3230,2191,1860,1490,1687,1.8,95.7,0.1,0.2,1.3,60619,898.0292606,1719,477,130,562,393,157,2506.553846,10489,5886,4603,0.028085023,0.171369288,0.096165471,0.075203817,0.46240511165844245,1135.4545454545455,18893.545454545456,2.829157880066895,2.845637269422378,2.87928489631693,0.5413503721948082,0.0,1.5977650838093573,11.65242147294648,-0.07681372976995265
40,15672,34586,35.6,7.1,24.4,28018,2387,2027,1882,1912,1903,2217,1823,1325,1474,1332,1884,1935,1948,1054,1166,627,562,560,2.2,95.0,0.3,0.2,3.2,60621,1426.771703,990,250,89,349,208,94,2295.1884,5993,3355,2638,0.035334428,0.213898208,0.11974445,0.094153758,1.0924745045941806,1020.3846153846154,14784.76923076923,3.768035756948316,3.800013643911854,3.856791395852677,2.641581681980602,0.0,1.0328295381230896,15.552032301210673,0.017333873675284345
41,18780,41196,40.3,6.1,27.2,30024,1859,1672,1979,2029,1932,1894,1543,1761,1533,1899,1766,2203,1633,1386,2012,1734,667,522,5.6,88.0,0.1,0.1,9.4,60636,1426.771703,827,207,94,273,161,92,2355.323438,6899,3770,3129,0.027544631,0.22978284,0.125566214,0.104216627,0.9116752095846644,1269.75,16431.25,3.9998492474317118,4.156475023562677,4.3758705767048385,2.0389173652822152,0.058125,1.2592121545442045,16.719682356794788,0.04552423913410508
42,23463,64716,31.0,8.9,7.4,88204,6161,6726,6303,6479,6830,6087,6804,6636,6588,5983,4725,5454,4730,3304,2163,1617,978,636,46.6,13.5,0.5,1.5,78.0,60639,1160.64546,628,128,49,215,169,67,2330.395128,4231,2189,2042,0.007119859,0.047968346,0.024817469,0.023150878,0.5936046336785578,1543.0833333333333,16475.416666666668,0.0,0.07644059961402103,0.1942060249664706,0.9786821122618593,0.28590277777777773,1.2652848434850361,0.14581286580254646,-0.354615713571282
43,33387,92002,21.3,19.8,10.3,48887,2989,2082,3565,3147,2772,2035,3039,2864,2737,2903,3910,3847,3828,2938,1979,1362,1721,1169,23.3,72.6,0.2,0.3,3.1,60643,1426.771703,423,103,25,126,104,65,3051.216552,5262,2856,2406,0.008652607,0.107635977,0.058420439,0.049215538,0.512812185461407,1439.6363636363637,27438.863636363636,1.3262100422075334,1.4154206947623538,1.5387154647683896,0.7093739515380236,0.1996969696969698,2.7727022736647373,5.610181372751532,-0.22269044668513185
44,41029,109731,19.4,34.2,4.0,87633,5848,3831,3771,3730,6675,14263,12565,8843,5949,5498,3816,3622,2907,2394,1786,1014,608,513,77.5,5.8,0.5,3.6,42.9,60647,1830.148454,409,105,37,119,92,56,2894.579298,5195,3102,2093,0.004667192,0.059281321,0.035397624,0.023883697,0.5352745971873553,1111.6923076923076,11951.692307692309,0.4094777414987657,0.3303110497733495,0.23200747962447119,0.7842486572911843,0.0,0.643296068705116,1.548301296178614,-0.32075568743160865
45,65125,257300,0.0,41.7,9.1,1052,5,0,0,192,148,169,98,33,18,58,49,125,37,48,56,16,0,0,62.8,3.9,0.0,32.0,3.2,60603,1426.771703,110,17,2,21,25,45,4816.053333,1977,1463,514,0.104562738,1.879277567,1.390684411,0.488593156,0.2628984327984645,235.88888888888889,957.7777777777778,54.37486704626901,41.17219978905794,24.203402249045702,0.0,0.0,0.0,199.9574296091581,4.469400242215434
46,60709,136475,7.6,42.0,6.5,29293,1317,1035,547,2222,4407,4893,4249,2967,1617,1490,964,1190,851,552,341,310,177,164,58.5,14.3,0.2,21.7,7.3,60607,2392.292451,358,60,26,73,97,102,3809.437826,3487,2452,1035,0.01222135,0.119038678,0.083706005,0.035332673,0.4728707343556968,588.3333333333334,3386.8333333333335,2.3330415306203713,1.6713046541896681,0.822587073145569,0.5762357811856561,0.0,0.0,8.416089332543581,-0.15494791504898808
47,21759,52209,40.6,9.6,15.0,60939,4648,4390,4300,4269,4904,5706,4286,3881,4079,3518,3878,2857,2850,2592,2195,1528,575,483,43.9,25.1,0.7,6.2,53.0,60609,1143.08001,899,237,93,264,182,123,2577.756167,4665,2660,2005,0.014752457,0.076551962,0.043650208,0.032901754,0.6304039762856748,993.3076923076923,11625.692307692309,0.7380826630564625,0.7178753646604732,0.6971914783864643,1.1013465876189161,0.0,0.5984727495795832,3.004528105738137,-0.2855982652603919
48,33056,94477,17.7,30.2,5.0,79444,5762,4409,3711,3966,4957,8040,9093,7985,6086,5150,4490,4015,3723,2885,1779,1226,1037,1130,65.3,4.8,0.2,13.6,32.1,60625,1351.726186,274,54,12,85,79,44,2908.346176,4328,2521,1807,0.00344897,0.054478626,0.031733045,0.022745582,0.4907040849467571,1567.8461538461538,16978.53846153846,0.2635599665525205,0.2225354786589472,0.17329939131331887,0.6356802831558571,0.3065384615384615,1.3344614961554326,1.0153340124245065,-0.33362302078612754
49,45842,126843,17.7,29.0,4.8,28569,1801,1802,1854,1654,913,1670,1783,1681,1779,2136,2184,1595,1803,1743,1164,1067,1024,916,84.7,1.0,0.0,9.7,15.1,60646,1426.771703,60,12,6,13,16,13,3472.91,828,409,419,0.002100179,0.028982464,0.014316217,0.014666247,0.3734841506915056,1271.0,21188.833333333332,0.0,0.0,0.0,0.24494716897168534,0.059166666666666666,1.913355332508364,0.0019258727883866302,-0.3580895513863377
50,30582,79416,28.5,13.4,11.2,43447,2695,3301,3607,3087,3177,2510,2665,2732,3103,3063,2947,3186,2313,1840,1190,844,532,655,29.1,45.6,0.1,1.1,41.5,60652,1426.771703,141,36,9,41,29,26,3006.956667,3810,1931,1879,0.003245333,0.087693051,0.044444956,0.043248095,0.5598476370413968,1868.3076923076924,23281.53846153846,0.7697282790475432,0.9678885822000808,1.2308931703291035,0.8661587901379896,0.556923076923077,2.201091497530381,3.518749697855057,-0.2731835057703656
51,66991,148946,7.3,42.4,3.2,40548,1670,781,666,1492,2940,8157,6278,2849,1581,1985,1624,1830,2158,2167,2014,1134,648,574,72.3,14.9,0.1,8.8,6.2,60610,2183.642604,351,56,35,85,87,88,4848.585789,3149,2144,1005,0.008656407,0.077661044,0.052875604,0.024785439,0.3911527107820454,812.6,6080.6,1.1054234291630165,0.7427638795386204,0.27852259362426485,0.3038423692734847,0.0,0.0,3.9013031790407933,-0.2639475858210661
52,54818,136961,10.6,43.9,2.5,53294,3536,1908,1404,1285,3100,10751,10202,5648,4216,2476,2256,1737,1500,1126,793,443,486,427,80.4,6.5,0.1,4.7,22.9,60622,1890.830256,244,60,17,80,49,38,2819.174,4184,2674,1510,0.004578377,0.0785079,0.050174504,0.028333396,0.41391446371629753,807.25,7241.75,0.9978698733773991,0.7617678739733408,0.4615390487981017,0.37971487905432516,0.0,0.0,3.6839846139461976,-0.26919426888480175
53,31167,75345,15.5,30.0,4.9,44498,2009,1558,1108,2583,3628,5243,5093,3623,2816,2807,3113,2503,2472,2080,1505,917,578,862,65.4,13.4,0.3,13.6,17.1,60660,1280.346984,493,42,23,224,146,58,2819.515909,1930,1183,747,0.01107915,0.043372736,0.026585465,0.016787271,0.4929625503898354,1235.2857142857142,15492.714285714286,0.05859142311061552,0.0,0.0,0.6432085012994514,0.02940476190476185,1.130168332973228,0.15421482560343544,-0.35441286656568766
54,101190,267451,0.0,48.1,0.2,1145,56,45,46,17,74,118,285,242,135,45,51,15,10,6,0,0,0,0,64.1,4.3,6.6,21.4,6.5,60602,1426.771703,182,21,3,31,46,81,4929.95,2175,1700,475,0.158951965,1.899563319,1.484716157,0.414847162,0.16919913465757486,290.5,1199.0,58.119063351118896,41.62742513800997,20.39931713607758,0.0,0.0,0.0,209.51826994525518,4.700225892314155
55,78263,174238,4.1,38.7,3.0,33224,965,245,461,554,2581,4828,4429,2739,1415,1278,1812,2254,2521,2285,1971,1373,717,796,75.1,2.9,0.0,18.7,4.7,60611,2299.866492,270,20,15,46,85,104,4673.023,5157,3447,1710,0.008126655,0.155219119,0.103750301,0.051468818,0.35263659588822305,462.0,2711.75,3.1311738870749384,2.4832170683542034,1.654947797379552,0.1754553196274102,0.0,0.0,11.714997451406186,-0.07530296916724799
56,29646,79276,19.3,22.6,5.3,54197,2095,1934,2663,2549,3979,6166,5453,3181,3800,3307,4058,3261,3115,3141,1746,1497,785,1467,31.5,23.6,0.7,39.5,8.4,60616,1536.233906,633,71,71,206,172,113,3318.39625,3759,2334,1425,0.011679613,0.069358083,0.043065114,0.026292968,0.6218311702084598,691.0,6852.8,0.7147851397626822,0.5564400834791976,0.35628639224182396,1.0727705673615326,0.0,0.0,2.6643760239010135,-0.29381049584498287
57,22250,53646,32.3,8.7,11.1,63492,4563,4861,4384,4830,4870,4868,4781,4394,4035,3992,3778,3479,3157,2802,2015,1181,815,687,20.3,51.7,0.4,0.5,42.9,60651,1426.771703,759,213,58,264,157,67,2057.72963,10896,5189,5707,0.011954262,0.171612172,0.081726832,0.08988534,0.7694948510561797,1311.8461538461538,14055.23076923077,2.2542339730827425,2.8510877429199772,3.6366109563602596,1.5649828368539322,0.09320512820512818,0.9325217612031856,10.325629008792218,-0.10884624180011507
