,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zipcode,RentPrice,eviction_filings_completed,back_rent_0,back_rent_1_to_999,back_rent_1000_to_2499,back_rent_2500_to_4999,back_rent_5000_or_more,back_rent_median,crime,violent_crime,non_offensive_crime,eviction_filings_completed_scaled,crime_scaled_x,violent_crime_scaled_x,non_offensive_crime_scaled_x,RTI_ratio_x,time_to_CBD_x,distance_to_CBD_x,violent_crime_scaled_y,crime_scaled_y,non_offensive_crime_scaled_y,RTI_ratio_y,time_to_CBD_y,distance_to_CBD_y,wdi,wdi_scaled
10,22439,59337,22.1,20.0,15.7,33154,2902,2356,2543,2140,1896,2494,2583,2177,2020,2191,1539,2141,1933,1419,934,908,536,442,6.0,89.3,0.5,1.3,2.8,60653,1346.040759,888,133,98,296,260,101,2695.648276,4258,2465,1793,0.026784098,0.128430959,0.074350003,0.054080956,0.7198399709434466,830.0,9381.333333333334,1.9605002389105677,1.8820734931107228,1.7896913236356133,1.399466569811489,0.0,0.2898849626472341,7.924037728754188,-0.16682742849489193
11,85968,178523,3.5,47.4,2.1,20022,973,349,127,81,1124,4364,4023,1948,1575,1148,1281,809,890,587,351,188,161,43,75.9,5.4,0.0,14.3,5.8,60654,2330.030217,358,53,24,79,98,104,4215.980769,3049,2113,936,0.017880332,0.152282489,0.105533913,0.046748577,0.3252415154941374,649.875,2890.625,3.2021945130206255,2.4173171985099415,1.411460693283813,0.08413838498045798,0.0,0.0,11.763841184088701,-0.07412374370658183
12,61577,143290,4.0,47.4,3.0,70958,3875,2278,2031,1157,8387,14932,10435,6637,3569,3567,3301,2546,2541,1988,1442,716,827,729,86.0,3.0,0.1,7.0,7.6,60657,1561.020136,235,23,22,54,84,52,6247.988864,4333,2873,1460,0.003311818,0.061064292,0.04048874,0.020575552,0.30420841599948034,1052.3636363636363,10239.818181818182,0.6121979772238593,0.37032206812979673,0.06136139482100485,0.014028053331601176,0.0,0.4079222029173906,2.087059678639527,-0.30774854062170376
13,25939,72497,21.3,22.6,6.9,42735,3272,3189,3301,2162,2994,3175,3421,3346,2763,2736,2352,2821,2100,1884,1378,853,305,683,52.4,8.3,1.2,27.8,20.8,60659,1250.406727,193,34,5,67,62,25,2689.473529,1871,1068,803,0.004516205,0.043781444,0.024991225,0.018790219,0.5784679719341532,1529.4615384615386,19371.615384615383,0.0,0.0,0.0,0.9282265731138442,0.27455128205128215,1.6634972342383312,0.007298089241537502,-0.3579598509299262
14,29958,82268,29.0,17.1,5.9,43093,2331,2705,2306,2641,3032,2719,2738,2757,3083,2922,2990,3191,2699,2570,1663,1163,751,832,72.3,7.1,0.5,3.6,39.1,60707,1426.771703,170,28,12,53,58,19,2622.563636,1237,733,504,0.003944956,0.028705358,0.017009723,0.011695635,0.5715087935109152,1783.7083333333333,21622.333333333332,0.0,0.0,0.0,0.9050293117030508,0.48642361111111104,1.9729593473578073,0.00711570307759983,-0.35796425424630635
15,63141,135431,6.8,47.4,3.6,19716,916,446,329,309,1014,5485,3785,1992,1176,1033,705,673,678,471,226,258,210,10,73.7,10.2,0.1,7.4,16.2,60642,2120.111662,109,26,6,30,16,31,4028.163125,1274,890,384,0.005528505,0.064617569,0.045141002,0.019476567,0.4029289992873093,707.2,6355.3,0.7974437365612804,0.45005989408015806,0.004671773444753932,0.34309666429103103,0.0,0.0,2.66384032840193,-0.2938234290451498
16,37824,83902,24.2,27.1,3.8,28218,1878,1466,1275,923,1132,2195,2904,2302,1802,1785,1740,2016,1832,1398,1218,1026,618,708,83.4,1.3,0.0,8.5,13.4,60656,1426.771703,90,9,9,37,19,16,2567.091818,801,400,401,0.003189454,0.028386137,0.014175349,0.014210787,0.45265599714467003,1276.5,21915.0,0.0,0.0,0.0,0.5088533238155668,0.06375,2.013199505018562,0.004000808720225593,-0.3580394565810127
17,22201,56956,26.9,11.9,20.1,64254,3945,3652,4101,4351,4871,4869,3496,3643,3666,4291,3996,4363,3964,3339,2500,2271,1636,1300,4.7,93.1,0.1,0.2,3.5,60628,1119.827077,798,188,98,219,189,104,2565.432162,10739,5519,5220,0.01241946,0.167133564,0.085893485,0.081240078,0.6052846684383586,1472.888888888889,26027.555555555555,2.4201435454328264,2.7505848929581265,3.190657072113896,1.0176155614611955,0.22740740740740742,2.5786546893380384,10.531603897340233,-0.10387342708072235
18,31643,86112,24.4,19.3,5.3,69880,4385,4251,4280,4095,3973,5395,6250,5559,5030,5120,4440,4459,4522,2922,1876,1410,921,992,67.4,2.5,0.4,4.7,54.6,60641,1126.729115,376,79,23,129,85,60,2735.520286,3592,2006,1586,0.005380653,0.051402404,0.028706354,0.02269605,0.42729037638656264,1215.7272727272727,15925.181818181818,0.14304188898622278,0.15350307436829588,0.17074435159393367,0.4243012546218755,0.013106060606060623,1.1896303888604176,0.6097754727230396,-0.3434143477290366
19,71902,169181,3.1,39.8,4.5,15083,426,177,138,1004,1311,3031,1836,960,973,1117,698,272,1031,702,609,545,154,99,73.0,4.6,0.0,19.0,8.1,60601,2243.81821,225,25,5,40,61,94,4625.902,1945,1395,550,0.014917457,0.128953126,0.092488232,0.036464894,0.37447940975216265,417.7142857142857,1859.4285714285713,2.682736003822569,1.893791257124905,0.8809911276178684,0.24826469917387556,0.0,0.0,9.624677110912888,-0.12576919750569873
20,26557,68601,23.5,18.7,6.8,80059,4318,3913,4460,4009,8455,10112,8383,6124,5153,5139,4244,3932,3878,2827,1940,1326,811,1035,45.0,17.0,0.6,12.5,48.7,60608,1381.24026,310,64,18,76,91,61,2962.159024,4148,2351,1797,0.003872144,0.051811789,0.029365843,0.022445946,0.6241248303648755,769.6153846153846,7045.615384615385,0.16930170422871696,0.1626899376150083,0.15784308263695454,1.0804161012162519,0.0,0.0,0.6925874901039017,-0.34141503207518614
21,17635,42925,37.5,8.1,14.5,46591,3337,3289,3640,2794,3458,3738,2947,3035,2753,2777,2642,2989,2722,2350,1305,1202,1004,609,6.2,88.8,0.0,0.3,6.9,60644,1426.771703,897,251,63,350,173,60,2209.313889,9363,5118,4245,0.019252645,0.200961559,0.109849542,0.091112017,0.9708681846328324,944.6923076923077,13111.23076923077,3.3740360754957393,3.5097069027422476,3.6998873929639946,2.2362272821094415,0.0,0.8027266285206612,14.114151980764142,-0.017380612506242645
22,22018,49860,30.0,10.6,16.4,67711,3914,4024,4477,4587,4648,4516,3816,3640,4169,3970,4457,5344,4174,3448,2818,2292,1895,1522,2.1,95.7,0.1,0.4,1.8,60620,941.1273644,1135,301,101,372,240,121,2575.71825,14329,7924,6405,0.016762417,0.211619973,0.117026776,0.094593198,0.5129225348714689,1357.3846153846155,20407.615384615383,3.6598222505375486,3.748888582200081,3.879459300526153,0.7097417829048963,0.13115384615384623,1.8059418925636441,15.193384727543137,0.008675109755173487
23,32517,85959,30.6,17.5,3.8,75082,4508,4435,4595,4732,3774,4642,5821,5339,5079,5223,5430,5489,4570,3959,2855,1906,1367,1358,77.4,1.9,0.5,5.7,38.4,60634,1356.261857,249,39,15,78,70,47,3098.871379,2991,1540,1451,0.003316374,0.039836445,0.020510908,0.019325537,0.5005118025648122,1649.3,26167.9,0.0,0.0,0.0,0.6683726752160407,0.3744166666666666,2.5979513268252443,0.0052550137774751825,-0.3580091765337031
24,19996,62136,22.2,13.7,17.9,47300,3022,2955,3172,5307,4612,4021,3310,2567,2634,2297,2539,2715,2561,2075,1324,859,530,800,16.7,75.4,0.3,4.7,3.3,60637,1152.06719,1458,324,104,486,375,169,2462.950571,6776,3888,2888,0.030824524,0.143255814,0.082198732,0.061057082,0.6913785897179436,1082.75,15104.75,2.273024289241061,2.21475279386024,2.149545135664913,1.3045952990598122,0.0,1.076825244053348,9.24237367596339,-0.1349990806336514
