latitude,longitude,zipcode,time_to_CBD,distance_to_CBD
41.9734872,-87.70495324,60625,1563,15180
41.97500106,-87.69963803,60625,1668,15990
41.96414627,-87.68762171,60625,1399,13411
41.97394862,-87.70342046,60625,1604,15779
41.97618735,-87.71471032,60625,1391,20210
41.96818099,-87.72449578,60625,1192,18579
41.97300779,-87.68400327,60625,1543,16465
41.9635235,-87.72086922,60625,1218,17289
41.96112432,-87.71771631,60625,1192,17242
41.97399751,-87.70922518,60625,1501,15081
42.01813921,-87.66718207,60626,1644,18778
42.02227189,-87.67549611,60626,1874,20139
42.0114463,-87.66371594,60626,1549,17963
42.00733096,-87.65734312,60626,1562,17557
42.00102421,-87.6596811,60626,1427,16833
41.99971165,-87.67344325,60626,1515,17333
41.99823719,-87.67171983,60626,1424,17011
41.68399559,-87.63464671,60628,1503,25605
41.68996183,-87.63959275,60628,1410,24782
41.66783254,-87.5957515,60628,1392,30944
41.71360892,-87.61617864,60628,979,20854
41.66910566,-87.6123824,60628,1671,32729
41.66882667,-87.62106593,60628,1609,25529
41.67400952,-87.58420415,60628,1646,29297
41.67809401,-87.61836709,60628,1491,28000
41.77137626,-87.70352547,60629,1779,19679
41.77249066,-87.7161792,60629,1573,18367
41.77703011,-87.72771105,60629,1538,17774
41.77046955,-87.68864201,60629,1556,18842
41.77851437,-87.70494687,60629,1688,16623
41.77314838,-87.7061927,60629,1709,20252
41.77248354,-87.69611431,60629,1606,19455
41.77627027,-87.69585121,60629,1582,18727
41.77664368,-87.70754505,60629,1664,16706
41.78027388,-87.73139923,60629,1479,19096
41.96208422,-87.73522209,60630,1050,16090
41.96290392,-87.76969205,60630,1167,18043
41.96393379,-87.76041153,60630,1090,17459
41.9728778,-87.77679045,60630,1044,18841
41.96900108,-87.75012459,60630,1000,16308
41.97135678,-87.76628587,60630,1108,18932
41.9793479,-87.76664552,60630,1106,18714
41.98095055,-87.7625423,60630,1133,18039
41.96939053,-87.75683858,60630,1048,17290
41.98237892,-87.75685728,60630,1232,18330
42.0005951,-87.80128144,60631,1409,22240
41.9957058,-87.81386861,60631,1370,23424
41.99879704,-87.81890368,60631,1355,24306
41.82755857,-87.73297372,60632,920,13609
41.81018414,-87.69003457,60632,1108,11669
41.80764801,-87.7353045,60632,1031,15617
41.80173498,-87.72260178,60632,1164,14749
41.81397704,-87.69138472,60632,1076,11390
41.79543531,-87.72174444,60632,1368,15968
41.82216578,-87.68495318,60632,863,9886
41.81302399,-87.70465575,60632,999,12578
41.79782177,-87.72092902,60632,1301,15810
41.64614712,-87.5511956,60633,1695,33308
41.64569122,-87.54321443,60633,1697,33387
41.66289349,-87.57596994,60633,1561,29684
41.66744369,-87.55510428,60633,1746,33314
41.670429,-87.53238474,60633,1912,34887
41.65106671,-87.56055191,60633,1565,32217
41.64674828,-87.55105839,60633,1749,33255
41.66088698,-87.58843165,60633,1368,30159
41.67260227,-87.57343256,60633,1472,28754
41.65502337,-87.54379841,60633,1680,33044
41.940466,-87.84633998,60634,1722,29104
41.9520948,-87.77083512,60634,1363,17711
41.94850542,-87.83009336,60634,1657,27904
41.95618185,-87.85595118,60634,1666,29876
41.95432968,-87.79343503,60634,1617,19321
41.94018656,-87.76702435,60634,1531,17432
41.93681353,-87.79108016,60634,1750,20662
41.94081641,-87.78384986,60634,1596,18337
41.93830778,-87.83895975,60634,1707,29536
41.79045875,-87.66876179,60636,1162,14938
41.78474066,-87.66373093,60636,1158,15236
41.76545629,-87.67545065,60636,1427,18965
41.76399826,-87.68185645,60636,1478,19533
41.78488985,-87.68371521,60636,1309,16762
41.76430453,-87.66502609,60636,1315,18118
41.76974488,-87.67707485,60636,1407,17942
41.75751189,-87.68069097,60636,1622,20131
41.75896568,-87.65980541,60636,1250,18612
41.77111329,-87.680053,60636,1425,18150
41.79181429,-87.62345076,60637,879,12425
41.77452286,-87.61643103,60637,1046,14843
41.78600049,-87.61685707,60637,1027,13425
41.76865382,-87.62320141,60637,917,15178
41.77720278,-87.58840406,60637,1249,14584
41.78298996,-87.76674417,60638,1303,19169
41.79472184,-87.78621569,60638,1268,20930
41.77536338,-87.77649462,60638,1479,21097
41.78810011,-87.75148925,60638,1270,18666
41.77638451,-87.76393897,60638,1358,19751
41.78036559,-87.78971011,60638,1414,22785
41.77775397,-87.77446131,60638,1414,20378
41.79093135,-87.79582285,60638,1203,20632
41.91804745,-87.78194313,60639,1549,18252
41.91864518,-87.74625243,60639,1443,15175
41.91022972,-87.736465,60639,1323,12943
41.91769609,-87.76572337,60639,1446,16884
41.90991677,-87.78488321,60639,1429,17571
41.90972195,-87.74324281,60639,1343,14420
41.93091528,-87.78180273,60639,1759,19631
41.91819544,-87.77803281,60639,1501,17914
41.92925393,-87.74502664,60639,1439,14236
41.92733772,-87.76025694,60639,1613,19118
41.96784791,-87.65287877,60640,1055,13080
41.97768562,-87.65754845,60640,1120,14102
41.96592982,-87.6730106,60640,1335,14344
41.97654129,-87.65818059,60640,1073,13982
41.97597668,-87.67898516,60640,1398,15702
41.97297283,-87.656261,60640,1142,14215
41.94582471,-87.74763183,60641,1106,14803
41.93798795,-87.75215724,60641,1374,15450
41.95533339,-87.76395476,60641,1240,17264
41.95052446,-87.76560108,60641,1284,17129
41.95771744,-87.73489988,60641,951,14457
41.93435323,-87.73056715,60641,1130,14738
41.9597351,-87.75558612,60641,1111,16436
41.93368851,-87.76524855,60641,1564,18909
41.8996635,-87.65267615,60642,669,6433
41.90062434,-87.65131776,60642,681,6457
41.90653244,-87.65479928,60642,699,6575
41.91064047,-87.65408362,60642,730,6929
41.89299555,-87.66381184,60642,669,6058
41.91012759,-87.66440847,60642,690,8375
41.91066867,-87.65546934,60642,735,6822
41.8946337,-87.64850891,60642,646,4190
41.89233948,-87.66653822,60642,674,6434
41.681762,-87.68063545,60643,1508,28010
41.65801175,-87.64217287,60643,1553,30594
41.67666709,-87.65417231,60643,1318,27249
41.66085828,-87.64144263,60643,1538,30295
41.67347091,-87.64348076,60643,1502,29053
41.66317084,-87.64636928,60643,1409,29536
41.68179937,-87.68013459,60643,1474,28674
41.66279406,-87.64381258,60643,1435,29789
41.69248033,-87.66472743,60643,1332,25802
41.66131937,-87.64236165,60643,1491,30058
41.69275904,-87.66400297,60643,1238,25416
41.66027694,-87.64169598,60643,1517,30314
41.67223996,-87.64575782,60643,1496,29160
41.70552079,-87.66892146,60643,1412,24511
41.65879028,-87.64393343,60643,1548,30290
41.65970959,-87.64575365,60643,1501,30249
41.69149417,-87.65787762,60643,1219,25309
41.66095818,-87.64415905,60643,1495,30030
41.86610012,-87.76912604,60644,825,12660
41.89154678,-87.74151015,60644,1102,12416
41.88057411,-87.77419507,60644,924,13556
41.88182419,-87.77326396,60644,988,13835
41.89293081,-87.7436744,60644,1073,12395
41.8890927,-87.76021064,60644,1129,14290
41.8685124,-87.74752588,60644,773,10652
41.88463648,-87.76012504,60644,1005,13588
41.86689137,-87.76804716,60644,796,12301
41.88234438,-87.743927,60644,857,10952
42.00968443,-87.68108901,60645,1661,18609
42.0178775,-87.68046266,60645,1844,19586
42.00458123,-87.68872083,60645,1653,18734
42.00853452,-87.68687139,60645,1685,18879
42.0102862,-87.69889151,60645,1747,26156
42.01738765,-87.69979023,60645,1704,26216
42.00833232,-87.69383049,60645,1790,19500
42.01512338,-87.7068306,60645,1637,25401
42.01891005,-87.69358679,60645,1728,26977
41.99825414,-87.70463014,60645,1617,23834
42.00481655,-87.76246983,60646,1229,20795
41.99508227,-87.76334927,60646,1039,19597
42.00634932,-87.78108611,60646,1297,21811
42.01032329,-87.7767763,60646,1351,23257
41.9102255,-87.70492614,60647,1158,10725
41.91948779,-87.72140912,60647,1293,13494
41.92225383,-87.6781121,60647,550,8060
41.91395781,-87.70258104,60647,1142,10815
41.91958957,-87.69330126,60647,989,9220
41.92696573,-87.69735388,60647,817,10597
41.93119723,-87.71008726,60647,934,11176
41.91511275,-87.71676388,60647,1241,14020
41.92068463,-87.71564654,60647,1216,13019
41.75969623,-87.56723477,60649,1303,15629
41.76143022,-87.56900076,60649,1332,15731
41.75710048,-87.5754439,60649,1326,15395
41.77819213,-87.5769411,60649,1153,14430
41.76102315,-87.57008736,60649,1332,15730
41.7623226,-87.58363944,60649,1288,15242
41.75230333,-87.56109435,60649,1494,16835
41.90753687,-87.73048136,60651,1228,12365
41.89962774,-87.76606097,60651,1205,14923
41.9020619,-87.72092143,60651,1126,11210
41.89881838,-87.73082866,60651,1083,11588
41.89527877,-87.76234317,60651,1164,14644
41.90247036,-87.71852409,60651,1098,10757
41.90948775,-87.70852656,60651,1187,10943
41.90778509,-87.76859509,60651,1401,17086
41.90018776,-87.71886964,60651,1080,10718
41.90531266,-87.73871328,60651,1281,12911
41.75475134,-87.69936035,60652,1798,22058
41.74807783,-87.70435196,60652,1807,22491
41.73916288,-87.7226682,60652,1959,21628
41.74688129,-87.72595021,60652,1938,21047
41.75513059,-87.73869901,60652,1769,21102
41.73904969,-87.73069868,60652,1982,23661
41.75452555,-87.72369722,60652,1762,19935
41.74918321,-87.72546718,60652,1860,20706
41.75460253,-87.73162373,60652,1814,20581
41.75470223,-87.73502256,60652,1814,21657
41.81694593,-87.61954825,60653,771,9736
41.8251155,-87.60337159,60653,793,7711
41.81561581,-87.62188917,60653,732,9773
41.82532213,-87.61060487,60653,822,8145
41.82820844,-87.61979997,60653,755,8389
41.82259021,-87.60439472,60653,780,7827
41.81603174,-87.61340228,60653,850,10270
41.81784656,-87.6151341,60653,842,10314
41.8096175,-87.606262,60653,939,11695
41.82565732,-87.61527808,60653,799,9468
41.89423666,-87.62886659,60654,589,2280
41.89535388,-87.644441,60654,731,3037
41.88910507,-87.64691402,60654,497,3747
41.89495833,-87.63935874,60654,621,6250
41.88930344,-87.63049213,60654,367,1479
41.89174505,-87.63963326,60654,608,2517
41.8889658,-87.63302708,60654,399,1595
41.8913224,-87.64145321,60654,530,4021
41.89283172,-87.63059657,60654,461,1879
41.7038257,-87.71240428,60655,1849,28265
41.692676,-87.70974795,60655,1719,29427
41.68755513,-87.69267831,60655,1628,28270
41.71059692,-87.71942677,60655,1867,28627
41.6839661,-87.68179149,60655,1505,29038
41.70408829,-87.69869529,60655,1724,27145
41.7047894,-87.68665155,60655,1659,26124
41.97450977,-87.81995717,60656,1270,23425
41.97382558,-87.85534751,60656,1455,25701
41.97589707,-87.81551527,60656,1330,23654
41.97176608,-87.80361328,60656,1290,21913
41.96894816,-87.8002986,60656,1307,20980
41.96535075,-87.83802493,60656,1433,25621
41.93296294,-87.65093124,60657,1092,9548
41.93558891,-87.67784411,60657,943,9615
41.93860467,-87.65055876,60657,1214,10934
41.94519965,-87.64916671,60657,1079,10665
41.93851948,-87.65798472,60657,1262,11260
41.94754756,-87.64428029,60657,1003,10416
41.99539449,-87.71037332,60659,1539,22805
41.99215476,-87.69579225,60659,1670,18558
41.98776095,-87.70817951,60659,1573,23100
41.99217976,-87.71322559,60659,1408,22299
41.99101429,-87.71088675,60659,1393,22356
41.99153389,-87.71323475,60659,1414,22228
41.98844476,-87.70834167,60659,1574,23093
41.98425056,-87.68337182,60659,1585,17832
41.98768601,-87.68497693,60659,1609,17767
41.98863693,-87.67518137,60660,1475,17156
41.99489263,-87.65849116,60660,1272,15854
41.99334515,-87.67395877,60660,1423,16583
41.99075254,-87.67736868,60660,1462,17002
41.98514319,-87.65420705,60660,1124,14813
41.98825926,-87.67581632,60660,1466,17105
41.99613241,-87.67474669,60660,1491,17122
41.98370392,-87.66011535,60660,1133,14785
41.88509969,-87.64361998,60661,370,3140
41.87708722,-87.64373218,60661,398,1481
41.87828536,-87.64433753,60661,343,1331
41.88113195,-87.64313345,60661,493,2097
41.8778462,-87.64403645,60661,417,1565
41.88193061,-87.63991847,60661,388,1586
41.88637877,-87.63995963,60661,438,1853
41.8887458,-87.64379468,60661,467,3584
41.88058462,-87.64528731,60661,358,3346
41.88651009,-87.64625992,60661,573,7087
41.97991898,-87.8761273,60666,1299,27077
41.97886487,-87.88060537,60666,1436,28438
41.99723743,-87.88810445,60666,1460,30121
41.96855692,-87.90198397,60666,2066,37885
41.99286992,-87.89156483,60666,1564,30897
41.90908625,-87.80532555,60707,1356,18934
41.93451551,-87.81574635,60707,1846,22527
41.9163435,-87.78930749,60707,1619,18587
41.93793697,-87.81233986,60707,1837,22601
41.92059257,-87.80323745,60707,1567,20425
41.93647022,-87.80677363,60707,1745,21967
41.91507757,-87.79535483,60707,1588,20526
41.9346426,-87.80815792,60707,1750,21877
41.92389956,-87.78767505,60707,1742,19400
41.93669166,-87.81372747,60707,1865,22629
41.92687435,-87.8009994,60707,1713,21412
41.93616474,-87.80706484,60707,1765,22009
41.90976142,-87.79780904,60707,1488,19638
41.93663206,-87.81505402,60707,1851,22587
41.92691648,-87.80010578,60707,1803,21693
41.93776141,-87.81225023,60707,1836,22593
41.91203304,-87.79124887,60707,1522,18320
41.93658849,-87.81612494,60707,1918,23095
41.91702498,-87.79069713,60707,1760,21276
41.93463905,-87.81051159,60707,1841,22451
41.65366117,-87.61837147,60827,1577,32414
41.65039552,-87.58965703,60827,1575,31565
41.65442325,-87.61544218,60827,1618,32420
41.6542062,-87.59957296,60827,1488,30951
41.65348916,-87.58554258,60827,1454,31864
41.64800264,-87.58628505,60827,1852,35977
41.65860339,-87.59557869,60827,1418,30354
41.64667792,-87.59726443,60827,1661,35087
