,latitude,longitude,zipcode,time_to_CBD,distance_to_CBD
0,41.917352389166034,-87.7078568412659,60647,1133,13315
1,41.920201028178475,-87.71286179909963,60647,1248,11929
2,41.92189270529143,-87.6888612873697,60647,854,9635
3,41.918514617277594,-87.70836771746325,60647,1136,13228
4,41.93140732239495,-87.6810511893963,60647,941,9767
5,41.92245067384369,-87.68306696432651,60647,791,8876
6,41.92649359997211,-87.71679011384968,60647,1133,13029
7,41.91796952479444,-87.71772545843514,60647,1318,14448
8,41.91793161297,-87.72207947212048,60647,1347,14586
9,41.9228996947593,-87.71380095152075,60647,1153,11573
10,41.92721885775222,-87.7167342631171,60647,1146,12491
11,41.91987875111932,-87.69347335734311,60647,1041,9640
12,41.930000957800566,-87.72535242411688,60647,1211,12855
13,41.918091128063026,-87.7412342058622,60639,1575,15731
14,41.925989482833096,-87.7595827867044,60639,1757,18594
15,41.913945685764354,-87.75970650695133,60639,1536,16187
16,41.91422602122328,-87.77076543031043,60639,1561,17982
17,41.92669290135128,-87.77498481759874,60639,1683,18974
18,41.92559921852676,-87.76999627383933,60639,1698,18383
19,41.91098658772957,-87.76227802350887,60639,1467,16718
20,41.929454348343505,-87.75818840072816,60639,1548,18960
21,41.92330856093325,-87.74056836113998,60639,1478,13661
22,41.92714293671715,-87.72722323551399,60639,1281,13283
23,41.91461079663688,-87.75802513347621,60639,1524,16143
24,41.920803719046525,-87.72962632665974,60639,1409,13089
25,41.91543086999067,-87.79621155189412,60707,1652,20889
26,41.91918553312735,-87.78639362233825,60707,1650,18976
27,41.916122855103126,-87.79324081343822,60707,1678,21066
28,41.91883411765789,-87.79808687382629,60707,1664,20899
29,41.91274854274571,-87.80019741233835,60707,1530,20040
30,41.92507750480538,-87.79170947307408,60707,1811,20013
31,41.92642132570576,-87.79239192532245,60707,1785,20204
32,41.92424269612128,-87.79764395433732,60707,1735,21639
33,41.917077713913294,-87.79747043889473,60707,1653,20776
34,41.928022128006944,-87.8058158486859,60707,1712,21347
35,41.9206905265204,-87.79075349417683,60707,1888,20410
36,41.92507793326322,-87.80327641963613,60707,1690,21247
37,41.91123503101931,-87.67227698301969,60622,764,7288
38,41.8898653102156,-87.67334756011672,60622,758,6506
39,41.90459737494314,-87.69624761643679,60622,1059,9263
40,41.897110206547005,-87.68138352491604,60622,852,7284
41,41.889422683968526,-87.66766520793807,60622,787,5514
42,41.9019441218701,-87.67693248398054,60622,771,6925
43,41.89614247034143,-87.68939545713606,60622,871,7951
44,41.91547840296903,-87.66825210921158,60622,596,7203
45,41.89867320405857,-87.7271611958893,60651,1098,11613
46,41.897321973652254,-87.77165308101904,60651,1282,15960
47,41.9046399259741,-87.71226652369639,60651,1259,11664
48,41.903130284015276,-87.75836959247906,60651,1352,14893
49,41.90819402602815,-87.77344955724931,60651,1435,17304
50,41.90681863663491,-87.72660493016849,60651,1292,12343
51,41.9041719435814,-87.74026146497546,60651,1310,13238
52,41.90437968899365,-87.71233372699149,60651,1274,11745
53,41.907761867836136,-87.74911134795522,60651,1342,14484
54,41.90286782229077,-87.73646152703124,60651,1239,12734
55,41.906689938021195,-87.77147163561727,60651,1422,17217
56,41.903043617827166,-87.76663274758577,60651,1408,16224
57,41.90748122743524,-87.7355733956069,60651,1341,13299
58,41.889237323625565,-87.62673251872863,60611,435,1344
59,41.88925743599047,-87.61686691221955,60611,486,3019
60,41.88877146697261,-87.6119513436001,60611,544,3426
61,41.89487301988199,-87.61558792366836,60611,383,3058
62,41.7827876658553,-87.74463768080916,60638,1361,18196
63,41.79612352528976,-87.76442954361691,60638,1208,17834
64,41.78120288676984,-87.76932164337168,60638,1424,19837
65,41.78161482673184,-87.75441718763805,60638,1553,20747
66,41.788660365779506,-87.76381472554222,60638,1294,18579
67,41.785337466224654,-87.74939786972183,60638,1553,20747
