,hh_median_income,hh_mean_income,perc_educ_highschool,perc_educ_bachelor,unemployment_rate,total_population,age_under_5,age_5_to_9,age_10_to_14,age_15_to_19,age_20_to_24,age_25_to_29,age_30_to_34,age_35_to_39,age_40_to_44,age_45_to_49,age_50_to_54,age_55_to_59,age_60_to_64,age_65_to_69,age_70_to_74,age_75_to_79,age_80_to_84,age_85_up,pop_white,pop_black,pop_native,pop_asian,pop_latino,zip_code
"ZCTA5 62689: Summary level: 860, zip code tabulation area:62689",29940.0,61179,46.2,15.3,3.5,567,32,34,30,48,38,65,59,50,13,24,40,34,20,18,17,23,17,5,97.4,0.0,0.0,0.0,0.0,62689
"ZCTA5 62702: Summary level: 860, zip code tabulation area:62702",26316.0,55134,33.5,12.5,8.1,33563,2182,2430,1841,1460,2012,2245,2365,1871,2023,1942,2158,2466,2507,2122,1457,841,847,794,75.3,19.2,0.1,1.6,2.0,62702
"ZCTA5 62707: Summary level: 860, zip code tabulation area:62707",38071.0,81308,33.8,12.4,5.9,7097,295,390,394,398,371,390,462,301,345,476,471,842,671,527,266,153,192,153,91.3,1.8,0.0,1.1,0.5,62707
"ZCTA5 62817: Summary level: 860, zip code tabulation area:62817",21786.0,44966,37.0,15.0,7.8,433,5,6,10,24,15,0,8,34,2,35,44,75,106,13,30,17,9,0,100.0,0.0,0.0,0.0,0.0,62817
"ZCTA5 62822: Summary level: 860, zip code tabulation area:62822",21386.0,48925,29.6,11.8,7.4,2960,181,286,170,191,132,200,226,173,170,137,180,213,143,172,110,120,93,63,98.0,0.6,0.0,0.5,1.8,62822
"ZCTA5 62823: Summary level: 860, zip code tabulation area:62823",26579.0,64375,35.1,7.7,4.0,1681,103,67,80,91,120,87,73,70,72,115,181,129,114,99,77,57,70,76,97.7,0.1,0.0,0.0,1.7,62823
"ZCTA5 62253: Summary level: 860, zip code tabulation area:62253",25563.0,51838,48.5,8.1,6.7,544,21,19,28,43,12,12,12,19,38,39,30,40,69,41,25,68,7,21,99.4,0.0,0.0,0.0,0.0,62253
"ZCTA5 60185: Summary level: 860, zip code tabulation area:60185",30595.0,103371,26.1,19.1,4.2,36100,2311,2570,2756,2586,2437,2280,2578,2546,2307,2231,2626,2984,1926,1439,897,709,413,504,75.1,1.9,0.0,6.7,44.8,60185
"ZCTA5 60188: Summary level: 860, zip code tabulation area:60188",37410.0,100250,20.5,27.6,5.1,42214,2392,2834,2680,2547,2811,2942,2735,2854,2532,3030,2935,3631,2899,2100,1125,848,538,781,68.3,6.5,0.7,18.3,15.1,60188
"ZCTA5 60401: Summary level: 860, zip code tabulation area:60401",31833.0,80897,39.3,13.3,3.5,7990,471,405,448,516,497,362,381,472,501,601,808,490,569,468,276,233,151,341,97.1,0.1,0.1,0.0,6.3,60401
"ZCTA5 60422: Summary level: 860, zip code tabulation area:60422",60368.0,149410,12.3,23.9,11.5,9941,899,469,554,433,779,179,449,539,648,788,719,675,779,649,698,216,200,268,36.6,59.8,0.0,2.1,3.2,60422
"ZCTA5 60424: Summary level: 860, zip code tabulation area:60424",30931.0,80952,42.7,7.5,10.6,2326,123,144,71,142,152,153,136,83,160,194,136,247,226,120,78,87,57,17,97.7,0.3,0.1,1.7,6.5,60424
"ZCTA5 60425: Summary level: 860, zip code tabulation area:60425",32151.0,71015,26.3,18.0,11.9,8842,466,607,731,742,591,464,417,601,379,645,763,485,577,362,446,245,191,130,24.3,69.1,0.0,0.3,6.8,60425
"ZCTA5 61416: Summary level: 860, zip code tabulation area:61416",17109.0,30880,56.7,4.1,3.1,256,8,7,21,37,12,8,13,26,16,7,6,42,31,2,13,4,3,0,100.0,0.0,0.0,0.0,0.0,61416
"ZCTA5 61421: Summary level: 860, zip code tabulation area:61421",30943.0,68913,43.7,11.1,2.9,1481,105,137,120,100,78,39,55,56,99,101,155,89,81,67,67,78,32,22,97.6,1.4,0.0,0.0,1.5,61421
"ZCTA5 61430: Summary level: 860, zip code tabulation area:61430",33947.0,80801,35.8,12.6,2.7,654,22,30,35,30,31,39,50,26,38,37,52,66,54,54,42,28,15,5,97.9,0.0,0.0,0.2,1.1,61430
